dimension,severity,id,name,detail
D3_category_subgroup_mismatch,HIGH,bedca_0113,Tomillo,"{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0115,Rucula,"{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0136,"Coliflor, hervida","{""category"": ""vegetables"", ""subgroup"": ""cruciferous"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0140,Bambú. crudo,"{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0146,"Brécol, hervido","{""category"": ""vegetables"", ""subgroup"": ""cruciferous"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0156,Torta de aceite,"{""category"": ""fat"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""avocado"", ""butter_margarine"", ""nuts_seeds"", ""olive_oil"", ""other_fat""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0168,Flamenquín,"{""category"": ""protein"", ""subgroup"": ""processed_protein"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0175,Ensalada,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0181,Crema catalana,"{""category"": ""other"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0187,Gazpacho,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0191,"Cebolla, hervida","{""category"": ""vegetables"", ""subgroup"": ""allium"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0202,Pepinillos en vinagre,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0209,"Pescado, genérico","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0219,"Espinaca, hervida","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0220,"Pez emperador, plancha","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0229,"Acelgas, hervidas","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0230,"Cebolla, asada","{""category"": ""vegetables"", ""subgroup"": ""allium"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0231,"Judia verde, hervida","{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0233,Hinojo,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0244,"Remolacha, en conserva","{""category"": ""vegetables"", ""subgroup"": ""root_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0246,"Sargo, crudo","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0247,Trucha,"{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0248,"Sardina, enlatada, en aceite, escurrida","{""category"": ""fat"", ""subgroup"": ""fish"", ""allowed_sample"": [""avocado"", ""butter_margarine"", ""nuts_seeds"", ""olive_oil"", ""other_fat""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0261,"Macedonia de frutas, conserva en su jugo","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0265,Alcachofas en conserva,"{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0302,"Palmito, en conserva","{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0309,"Nabo, pelado, crudo","{""category"": ""vegetables"", ""subgroup"": ""root_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0310,"Mújol, crudo","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0319,"Menta, fresca","{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0324,"Lima, cruda","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0332,"Puerro, en conserva","{""category"": ""vegetables"", ""subgroup"": ""allium"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0337,"Platija, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0344,"Perejil, fresco","{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0354,Nectarina,"{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0372,Bacaladilla,"{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0378,Manzana,"{""category"": ""fruits"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""tropical""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0385,Lechuga,"{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0390,Zamburiñas,"{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0392,Vinagre balsamico,"{""category"": ""other"", ""subgroup"": ""other_carbs"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0395,Paella marinera,"{""category"": ""other"", ""subgroup"": ""other_carbs"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0398,Guisantes en conserva,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0399,Grelo,"{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0402,Pez emperador,"{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0404,Pera,"{""category"": ""fruits"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""tropical""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0409,Cremoso san millan,"{""category"": ""dairy"", ""subgroup"": ""cheese"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0436,"Zanahoria, zumo fresco","{""category"": ""vegetables"", ""subgroup"": ""root_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0445,Lombarda,"{""category"": ""vegetables"", ""subgroup"": ""cruciferous"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0451,Esparragos blancos en conserva,"{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0453,Cuajada,"{""category"": ""dairy"", ""subgroup"": ""basic_dairy"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0458,Choped pork,"{""category"": ""protein"", ""subgroup"": ""processed_protein"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0464,Cardo,"{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0506,"Eneldo, seco","{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0526,"Carpa, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0527,Caviar,"{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0542,Caldo vegetal,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0579,"Zumo de zanahoria, fresco","{""category"": ""vegetables"", ""subgroup"": ""root_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0589,Crema de almendras,"{""category"": ""carbs"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0601,"Espinaca, en conserva","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0602,"Col blanca, cruda","{""category"": ""vegetables"", ""subgroup"": ""cruciferous"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0607,"Acelga, en conserva","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0610,"Cardo, tallo, en conserva","{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0613,"Masa de hojaldre, cruda","{""category"": ""fat"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""avocado"", ""butter_margarine"", ""nuts_seeds"", ""olive_oil"", ""other_fat""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0618,"Col lombarda, hervida","{""category"": ""vegetables"", ""subgroup"": ""cruciferous"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0619,"Cebollino, crudo","{""category"": ""vegetables"", ""subgroup"": ""allium"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0622,"Berro, crudo","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0623,"Alcachofa, cruda","{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0629,Zumo de lima,"{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0641,"Crema de almendras, envasada, sin reconstituir","{""category"": ""carbs"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0643,"Néctar de mango, envasado","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0658,"Guayaba, enlatada en almíbar","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0659,"Membrillo, crudo","{""category"": ""fruits"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""tropical""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0668,"Limón, zumo, fresco","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0715,Crema inglesa,"{""category"": ""dairy"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0735,"Bacón, ahumado, a la parrilla","{""category"": ""protein"", ""subgroup"": ""processed_protein"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0744,"Bonito, enlatado en aceite, escurrido","{""category"": ""fat"", ""subgroup"": ""fish"", ""allowed_sample"": [""avocado"", ""butter_margarine"", ""nuts_seeds"", ""olive_oil"", ""other_fat""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0746,"Perca, al horno","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0747,"Lucio, al horno","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0748,"Carpa, al horno","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0749,"Platija, al vapor","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0752,"Mújol, al horno","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0756,"Col de bruselas, cruda","{""category"": ""vegetables"", ""subgroup"": ""cruciferous"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0757,"Brécol, crudo","{""category"": ""vegetables"", ""subgroup"": ""cruciferous"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0763,"Caballa, enlatada en aceite, escurrida","{""category"": ""fat"", ""subgroup"": ""fish"", ""allowed_sample"": [""avocado"", ""butter_margarine"", ""nuts_seeds"", ""olive_oil"", ""other_fat""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0781,"Apio, en conserva en salmuera","{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0805,"Lija, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0814,Zumo de mango,"{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0818,"Espárrago, verde","{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0834,"Achicoria, cruda","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0852,"Bacaladilla, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0855,"Col rizada, cruda","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0859,"Angula, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0877,"Petit suisse, fresa","{""category"": ""carbs"", ""subgroup"": ""basic_dairy"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0883,"Tenca, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0884,"Salema, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0885,"Volador, crudo","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0886,"Vieja, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0889,"Tomate, maduro, puré","{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0894,"Mousse de yogur, con frutas","{""category"": ""dairy"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0895,"Mousse de queso fresco, desnatado, con frutas","{""category"": ""dairy"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0896,"Mousse de queso fresco, con frutas","{""category"": ""dairy"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0899,"Melocotón, desecado","{""category"": ""fruits"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""tropical""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0903,"Mousse de yogur, natural","{""category"": ""dairy"", ""subgroup"": ""sweets_bakery"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0916,Néctar de ciruela,"{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0917,Néctar de albaricoque,"{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0919,"Perca, cruda","{""category"": ""protein"", ""subgroup"": ""fish"", ""allowed_sample"": [""eggs"", ""fish_fatty"", ""fish_white"", ""meat"", ""meat_fatty""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0923,"Néctar de maracuyá, envasado","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0924,Zumo de grosella roja,"{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0925,"Zumo de lima, envasado","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0931,"Néctar de frutas exóticas, envasado","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0963,"Zumo de limón, fresco","{""category"": ""other"", ""subgroup"": ""fruit"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,off_117219e8a5,Yogur bebible frutas del bosque,"{""category"": ""dairy"", ""subgroup"": ""fruit"", ""allowed_sample"": [""aged_cheese"", ""fresh_cheese"", ""high_protein_dairy"", ""low_fat_dairy"", ""other_dairy""]}"
D3_category_subgroup_mismatch,HIGH,off_45a57d43c8,Piña manzana y uva,"{""category"": ""fruits"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""tropical""]}"
