id,name,category,subgroup_before,subgroup_after,changed,confidence,reason
bedca_0125,Sal yodada,other,,other,True,95,Condimento sin macros
bedca_0126,Tabasco,other,,other,True,85,Salsa picante procesada
bedca_0130,Miso,other,,other,True,75,Pasta de soja fermentada
bedca_0135,"Garbanzo, hervida",carbs,,legumes,True,100,Legumbre cocida clásica
bedca_0138,Altramuz,carbs,,legumes,True,100,Leguminosa de alto proteinas
bedca_0142,"Haba, frita",carbs,,legumes,True,75,"Legumbre frita, snack"
bedca_0143,Pastas de te,carbs,,grains,True,72,Pasta derivada de cereales
bedca_0144,Complejo vitaminico,protein,,other_protein,True,55,"Suplemento, no alimento real"
bedca_0153,"Café, infusión, descafeinado",other,,other,True,90,Infusión sin valor calórico
bedca_0154,"Café, infusión",other,,other,True,50,"Infusión sin calorías, no es alimento"
bedca_0156,Torta de aceite,fat,,sweets_bakery,True,95,Boll repostero tradicional andaluz
bedca_0160,Chanquete,dairy,,other_dairy,True,50,"Es pescado, mal categorizado como lácteo"
bedca_0161,Bocadillo,other,,other_carbs,True,75,Preparación mixta con pan como base
bedca_0164,Mojo picon,fat,,other_fat,True,80,Salsa grasa canaria con aceite
bedca_0165,Rollito de primavera,other,,other_carbs,True,75,Preparación mixta con pasta frita
bedca_0167,Lecitina de soja,carbs,,other_carbs,True,50,Suplemento graso mal categorizado como carboidrato
bedca_0168,Flamenquín,protein,,processed_protein,True,85,"Carne procesada y frita, típico cordobés"
bedca_0169,Ensaladilla rusa,other,,other,True,70,"Plato compuesto, no encaja claro"
bedca_0172,Baileys,other,,other,True,55,Bebida alcohólica licor de crema
bedca_0173,Cubata,other,,other,True,55,Bebida alcohólica mezclada
bedca_0175,Ensalada,other,,vegetables,True,95,Base vegetal de hortalizas frescas
bedca_0178,Curry,carbs,,other_carbs,True,60,Plato compuesto con especia
bedca_0181,Crema catalana,other,,sweets_bakery,True,95,Postre dulce lácteo clásico
bedca_0183,Corteza de trigo,carbs,,grains,True,75,Producto derivado del trigo
bedca_0187,Gazpacho,other,,vegetables,True,95,Sopa fría de hortalizas
bedca_0190,Albondigas en conserva,dairy,,other_dairy,True,50,"Carne procesada, mal categorizada lácteo"
bedca_0194,Empanada de carne,protein,,meat,True,80,Masa con relleno de carne
bedca_0195,"Castaña, cruda",other,,other_carbs,True,70,Fruto seco rico en almidón
bedca_0196,Jamón asado,protein,,meat,True,95,Carne de cerdo cocinada
bedca_0197,Hojaldre,carbs,,sweets_bakery,True,95,Masa de repostería alta en grasa
bedca_0198,Batido de soja,carbs,,other_carbs,True,55,"Bebida vegetal, mal categorizada carboidrato"
bedca_0200,Piña en almíbar,carbs,,fruit,True,80,Fruta en conserva con azúcar
bedca_0202,Pepinillos en vinagre,other,,vegetables,True,95,Hortaliza fermentada en vinagre
bedca_0203,"Sopa de sobre, sin reconstituir",carbs,,other_carbs,True,75,Producto ultraprocesado con harina
bedca_0204,"Ajo, frito",other,,vegetables,True,75,"Ajo es hortaliza, aunque frito cambia macros"
bedca_0205,"Judías blancas, cocidas",carbs,,legumes,True,98,Legumbre clásica en dieta española
bedca_0206,"Soja, frita",carbs,,legumes,True,90,La soja es legumbre aunque esté frita
bedca_0209,"Pescado, genérico",protein,,fish,True,97,Nombre genérico de pescado
bedca_0211,Horchata,other,,other,True,55,"Bebida vegetal, no encaja bien"
bedca_0213,Salvado de trigo,protein,,other_protein,True,60,"Derivado cereal, no encaja en opciones"
bedca_0215,Clavo,carbs,,other_carbs,True,70,"Especia, no es cereal ni legumbre"
bedca_0216,Jengibre,other,,other,True,65,"Especia/raíz, no es verdura típica"
bedca_0220,"Pez emperador, plancha",protein,,fish,True,99,Pescado azul a la plancha
bedca_0221,"Mejillón, en escabeche",dairy,,other_dairy,True,50,"Mejillón no es lácteo, error categoría"
bedca_0224,"Perdiz, cruda",protein,,meat,True,95,"Carne de caza, ave"
bedca_0228,Fabada,dairy,,other_dairy,True,50,"Fabada no es lácteo, error categoría"
bedca_0231,"Judia verde, hervida",carbs,,vegetables,True,95,"Verdura de vaina, baja en carbohidratos"
bedca_0233,Hinojo,other,,vegetables,True,95,Hortaliza de consumo común
bedca_0236,Salsa carbonara,other,,other,True,80,"Salsa elaborada, no es base vegetal"
bedca_0237,Salsa boloñesa,other,,other,True,80,"Salsa con carne, no encaja en opciones"
bedca_0238,"Soja, seca, cruda",carbs,,legumes,True,95,Soja en estado seco es legumbre
bedca_0239,"Soja, harina",carbs,,legumes,True,90,Harina derivada de legumbre
bedca_0240,Sofrito,fat,,other_fat,True,85,"Preparación con aceite, no aceite puro"
bedca_0246,"Sargo, crudo",protein,,fish,True,99,Pescado blanco crudo
bedca_0247,Trucha,protein,,fish,True,99,Pescado de agua dulce
bedca_0248,"Sardina, enlatada, en aceite, escurrida",fat,,fish,True,85,"Sardina en conserva, base pescado"
bedca_0253,Salsa bechamel,other,,other,True,80,"Salsa láctea, no encaja en opciones"
bedca_0254,Salsa barbacoa,other,,other,True,75,"Salsa azucarada, no es dulce ni verdura"
bedca_0255,Salsa al roquefort,other,,other,True,80,"Salsa con queso, no encaja bien"
bedca_0256,Salsa al curry,other,,other,True,55,Salsa no encaja en opciones permitidas
bedca_0257,Pudding de pasas,carbs,,sweets_bakery,True,85,Pudding es dulce repostero típico
bedca_0261,"Macedonia de frutas, conserva en su jugo",other,,fruit,True,95,Mezcla de frutas en conserva
bedca_0264,Almeja,other,,other,True,50,Marisco sin opción adecuada
bedca_0269,Vainilla,other,,other,True,55,Especia sin opción válida
bedca_0273,"Anacardo, crudo",protein,,other_protein,True,75,Fruto seco sin opción específica
bedca_0274,Zumo de uva y melocotón,carbs,,fruit,True,95,Zumo de frutas natural
bedca_0275,Zumo de pomelo,carbs,,fruit,True,95,Zumo de pomelo
bedca_0284,Soda,other,,other,True,55,Bebida refrescante sin opción adecuada
bedca_0285,Sobao,carbs,,sweets_bakery,True,92,Bollería tradicional española
bedca_0292,"Ternera, parte s/e, cruda, con grasa separable",protein,,meat,True,98,Carne de ternera cruda
bedca_0294,Germen de trigo,protein,,other_protein,True,65,Cereal sin opción específica adecuada
bedca_0295,"Garbanzo, seco, crudo",carbs,,legumes,True,98,Legumbre seca cruda
bedca_0296,"Garbanzo, en conserva",carbs,,legumes,True,95,Garbanzo en conserva
bedca_0297,"Mermelada de fresa, baja en calorías",carbs,,sweets_bakery,True,80,Mermelada como dulce untable
bedca_0298,Mermelada de fresa,carbs,,sweets_bakery,True,80,Mermelada como dulce untable
bedca_0299,Mermelada de frambuesa,carbs,,sweets_bakery,True,80,Mermelada como dulce untable
bedca_0300,Mermelada de ciruela,carbs,,sweets_bakery,True,80,Mermelada como dulce untable
bedca_0302,"Palmito, en conserva",other,,vegetables,True,90,Verdura en conserva
bedca_0303,"Ostra, cruda",dairy,,fruit,True,50,Marisco sin opción adecuada
bedca_0304,"Orégano, seco",other,,other,True,55,Especia sin categoría válida
bedca_0305,Margarina de maíz,carbs,,other_carbs,True,65,Grasa sin opción específica adecuada
bedca_0308,"Maíz, crudo",carbs,,vegetables,True,75,Maíz fresco como hortaliza
bedca_0310,"Mújol, crudo",protein,,fish,True,98,Pescado crudo
bedca_0312,Mermelada de naranja,carbs,,sweets_bakery,True,80,Mermelada como dulce untable
bedca_0313,"Lenteja, seca, cruda",carbs,,legumes,True,99,Lenteja cruda es legumbre por excelencia
bedca_0314,"Lenteja, en conserva",carbs,,legumes,True,95,"Lenteja en conserva, sigue siendo legumbre"
bedca_0316,"Lengua, de cerdo, cruda",protein,,meat,True,90,"Lengua de cerdo, víscera cárnica"
bedca_0317,"Mermelada de albaricoque y melocotón, baja en calorías",carbs,,sweets_bakery,True,85,"Mermelada ligera, tipo dulce/bollería"
bedca_0318,Mermelada de albaricoque y melocotón,carbs,,sweets_bakery,True,90,"Mermelada convencional, alto azúcar"
bedca_0319,"Menta, fresca",other,,vegetables,True,80,"Hierba aromática, se clasifica como verdura"
bedca_0323,"Liebre, entera, cruda",protein,,meat,True,95,Liebre es carne de caza
bedca_0324,"Lima, cruda",other,,fruit,True,99,Lima es fruta cítrica
bedca_0327,"Pimentón, en polvo",protein,,other_protein,True,55,Especia mal clasificada como proteína
bedca_0329,"Pulmón, de ternera, crudo",protein,,meat,True,92,"Pulmón de ternera, víscera cárnica"
bedca_0331,"Pulmón, de cerdo, crudo",protein,,meat,True,92,"Pulmón de cerdo, víscera cárnica"
bedca_0334,"Pavo, entero, crudo",protein,,meat,True,99,"Pavo es ave, carne por definición"
bedca_0337,"Platija, cruda",protein,,fish,True,99,Platija es pescado blanco
bedca_0338,"Pipas de girasol, peladas, con sal",protein,,other_protein,True,50,Semilla mal clasificada en proteínas
bedca_0339,"Piñón, crudo, con cáscara",protein,,other_protein,True,50,Fruto seco mal clasificado en proteínas
bedca_0344,"Perejil, fresco",other,,vegetables,True,80,"Hierba aromática, se asimila a verdura"
bedca_0346,"Pera, conserva en almíbar",carbs,,fruit,True,85,"Pera en conserva, sigue siendo fruta"
bedca_0352,Paella,protein,,other_protein,True,65,"Plato preparado mixto, no encaja claro"
bedca_0354,Nectarina,other,,fruit,True,99,Nectarina es fruta de hueso
bedca_0356,Pipa de girasol,protein,,other_protein,True,50,Semilla mal clasificada en proteínas
bedca_0357,Pipa de calabaza,protein,,other_protein,True,50,Semilla mal clasificada en proteínas
bedca_0358,Piñon,protein,,other_protein,True,50,Fruto seco mal clasificado en proteínas
bedca_0361,Mejillon,dairy,,other_dairy,True,35,"Mejillón es marisco, no lácteo"
bedca_0372,Bacaladilla,protein,,fish,True,99,Bacaladilla es pescado azul
bedca_0381,Tomate frito,carbs,,vegetables,True,75,"Salsa de tomate, deriva de verdura"
bedca_0390,Zamburiñas,protein,,fish,True,85,"Marisco, se clasifica como pescado por defecto"
bedca_0391,Vinagre de manzana,carbs,,other_carbs,True,92,"Condimento acético, no encaja en otros grupos"
bedca_0392,Vinagre balsamico,other,,other_carbs,True,88,"Condimento con azúcares, mejor que sweets_bakery"
bedca_0395,Paella marinera,other,,other_carbs,True,82,Plato preparado con arroz como base
bedca_0398,Guisantes en conserva,other,,vegetables,True,90,"Guisante, leguminosa verde como verdura"
bedca_0400,Garbanzo seco,carbs,,legumes,True,98,Legumbre seca clásica española
bedca_0402,Pez emperador,protein,,fish,True,99,Pescado azul muy consumido en España
bedca_0409,Cremoso san millan,dairy,,cheese,True,95,Queso cremoso graso
bedca_0413,Berberecho,other,,other,True,55,Marisco sin categoría adecuada disponible
bedca_0414,Berberechos en conserva,other,,other,True,55,Marisco en conserva sin categoría adecuada
bedca_0415,Bebida isotónica aquarius,other,,other,True,92,"Bebida deportiva, no es alimento base"
bedca_0416,Batido de fresa,carbs,,other_carbs,True,78,"Bebida láctea azucarada, no encaja bien"
bedca_0428,Aceituna,fat,,other_fat,True,85,"Fruta oleaginosa, no es aceite ni fruto seco"
bedca_0439,Maíz frito,carbs,,sweets_bakery,True,75,Snack frito ultraprocesado
bedca_0453,Cuajada,dairy,,basic_dairy,True,88,Lácteo fermentado tradicional español
bedca_0457,Chirla,other,,other,True,55,Marisco sin opción adecuada en lista
bedca_0458,Choped pork,protein,,processed_protein,True,90,Carne procesada tipo fiambre
bedca_0462,Tofu,dairy,,other_dairy,True,88,Tofu no es lácteo real pero está aquí
bedca_0471,"Canela, en polvo",carbs,,other_carbs,True,90,"Especia, no encaja en otros subgrupos"
bedca_0485,"Tomillo, seco",carbs,,other_carbs,True,90,"Hierba aromática seca, condimento"
bedca_0486,Suplemento proteico,protein,,other_protein,True,95,"Suplemento, no es alimento natural"
bedca_0488,Azafrán,carbs,,other_carbs,True,90,"Especia, no encaja en subgrupos base"
bedca_0489,Sangría,other,,other,True,92,Bebida alcohólica mezclada
bedca_0491,"Café, en polvo, soluble",protein,,other_protein,True,88,"Infusión, no es fuente proteica real"
bedca_0492,Bebida isotónica,other,,other,True,92,"Bebida deportiva, no alimento base"
bedca_0493,Zumo de manzana,carbs,,fruit,True,95,Zumo derivado directamente de manzana
bedca_0495,Batido fermentado de soja,carbs,,legumes,True,88,Producto fermentado derivado de soja
bedca_0498,Preparado lácteo con omega 3,dairy,,other_dairy,True,80,"Preparado lácteo modificado, no lácteo básico"
bedca_0500,Bebida de soja,carbs,,other_carbs,True,85,"Bebida vegetal de soja, no es legumbre entera"
bedca_0506,"Eneldo, seco",carbs,,vegetables,True,90,Hierba aromática utilizada como condimento vegetal
bedca_0507,"Cabrito lechal, espalda, cruda",protein,,meat,True,98,Carne de cabrito lechal cruda
bedca_0508,"Cabrito lechal, costillar, crudo",protein,,meat,True,98,Carne de cabrito lechal cruda
bedca_0509,"Carne de cerdo de capa blanca, jamón, partes grasa y magra, crudo",protein,,meat,True,98,"Carne de cerdo cruda, corte de jamón"
bedca_0516,"Cabrito lechal, pierna, cruda",protein,,meat,True,98,Carne de cabrito lechal cruda
bedca_0517,Jalea real,carbs,,other_carbs,True,55,"Suplemento apícola, no encaja bien"
bedca_0520,"Café, en grano o molido, descafeinado",other,,other,True,95,Bebida sin valor calórico significativo
bedca_0521,"Café, en grano o molido",other,,other,True,95,Bebida sin valor calórico significativo
bedca_0522,"Cabrito, parte s/e, crudo, con grasa separable",protein,,meat,True,98,Carne de cabrito cruda
bedca_0526,"Carpa, cruda",protein,,fish,True,98,Pescado de agua dulce crudo
bedca_0527,Caviar,protein,,fish,True,92,"Huevas de pescado, derivado ictícola"
bedca_0528,"Cerdo, pierna, cruda, con grasa separable",protein,,meat,True,98,Carne de cerdo cruda
bedca_0532,"Batido lácteo de cacao, bajo en calorías",dairy,,low_fat_dairy,True,82,Batido lácteo bajo en calorías
bedca_0533,"Batido de almendras, en polvo",carbs,,other_carbs,True,75,"Polvo para batido, alto en carbohidratos"
bedca_0538,"Cabrito lechal, costillar, asado",protein,,meat,True,98,Carne de cabrito lechal asada
bedca_0539,"Carne de cerdo de capa blanca, cabezada, parte magra, cruda",protein,,meat,True,98,Carne de cerdo cruda
bedca_0540,"Carne de cerdo de capa blanca, cabezada, partes grasa y magra, crudo",protein,,meat,True,98,Carne de cerdo cruda
bedca_0541,"Carne de cerdo de capa blanca, jamón, parte magra, crudo",protein,,meat,True,98,"Carne de cerdo cruda, magra"
bedca_0542,Caldo vegetal,other,,vegetables,True,85,Caldo elaborado con extractos de verduras
bedca_0546,"Batido lácteo, de fresa",carbs,,basic_dairy,True,78,Batido lácteo con sabor a fruta
bedca_0550,"Guindilla, en polvo",protein,,other_protein,True,80,Especia vegetal mal categorizada como proteína
bedca_0552,"Pimienta, blanca",carbs,,other_carbs,True,55,"Especia, no encaja en subgrupos dados"
bedca_0553,"Pimienta, negra",other,,other,True,55,Especia sin categoría adecuada
bedca_0554,"Laurel, hoja",carbs,,sweets_bakery,True,75,Snack ultraprocesado de maíz frito
bedca_0556,Gomasio,other,,other,True,55,Condimento de sésamo sin encaje claro
bedca_0559,Miel,carbs,,sweets_bakery,True,72,"Azúcar natural, similar a dulce"
bedca_0560,"Cerdo, parte sin especificar",protein,,meat,True,92,Carne de cerdo sin especificar
bedca_0567,"Aceituna negra, con hueso",fat,,other_fat,True,85,"Fruta grasa, no es aceite puro"
bedca_0580,"Haba, fresca",carbs,,vegetables,True,78,"Haba fresca, se consume como verdura"
bedca_0581,"Garbanzo, hervido",carbs,,legumes,True,95,"Garbanzo hervido, legumbre típica"
bedca_0589,Crema de almendras,carbs,,nuts_seeds,True,92,Crema hecha de almendras
bedca_0591,Maíz en conserva,carbs,,vegetables,True,72,"Maíz en conserva, se usa como verdura"
bedca_0592,"Panceta, frita",dairy,,other_dairy,True,55,Panceta mal clasificada como lácteo
bedca_0593,Berberechos,other,,other,True,55,Marisco sin opción adecuada
bedca_0596,Infusión,other,,other,True,85,"Bebida sin calorías, sin encaje"
bedca_0597,"Café, sucedáneo, soluble",carbs,,other_carbs,True,70,"Sucedáneo de café, producto procesado"
bedca_0599,"Puré de patatas y champiñones, en copos",carbs,,tubers,True,75,"Puré de patatas, base tubérculo"
bedca_0605,"Ternera, parte sin especificar, cruda, con grasa separable",protein,,meat,True,95,Carne de ternera cruda
bedca_0606,"Pavo, crudo",protein,,meat,True,95,Carne de pavo cruda
bedca_0613,"Masa de hojaldre, cruda",fat,,sweets_bakery,True,90,"Masa de repostería, alta en grasa"
bedca_0615,"Alubia negra, seca, remojada, hervida",carbs,,legumes,True,95,"Alubia negra hervida, legumbre"
bedca_0620,"Patata, salteada con aceite girasol",fat,,other_fat,True,68,"Patata salteada, clasificada como grasa"
bedca_0621,"Patata, frita con aceite s/e, sin sal",fat,,other_fat,True,68,"Patata frita, clasificada como grasa"
bedca_0625,"Alubia blanca, en conserva",carbs,,legumes,True,95,"Alubia blanca en conserva, legumbre"
bedca_0626,"Alubia blanca, seca, cruda",carbs,,legumes,True,95,"Alubia blanca seca, legumbre"
bedca_0627,"Lengua, de ternera, cruda",protein,,meat,True,95,Lengua de ternera es carne de vacuno
bedca_0629,Zumo de lima,other,,fruit,True,85,"Zumo de lima, derivado de fruta"
bedca_0633,"Ternera, parte s/e, asada",protein,,meat,True,98,"Ternera asada, carne obvia"
bedca_0634,"Vaca/buey, parte s/e, estofado",protein,,meat,True,98,"Vaca estofada, carne obvia"
bedca_0635,"Haba, seca, remojada, hervida",carbs,,legumes,True,98,"Haba seca hervida, legumbre típica"
bedca_0641,"Crema de almendras, envasada, sin reconstituir",carbs,,nuts_seeds,True,95,"Crema de almendras, derivado fruto seco"
bedca_0643,"Néctar de mango, envasado",other,,fruit,True,85,"Néctar de mango, derivado de fruta"
bedca_0650,"Soja, seca, remojada, hervida",carbs,,legumes,True,98,"Soja hervida, legumbre por excelencia"
bedca_0654,"Chufa, cruda",carbs,,nuts_seeds,True,75,"Chufa, tubérculo pero similar a fruto seco"
bedca_0655,"Tapioca, hervida",other,,other,True,55,Tapioca no encaja bien en opciones
bedca_0657,"Cereales para el desayuno, ricos en fibra, tipo ""All-Bran""",carbs,,grains,True,90,"Cereales desayuno, derivados de grano"
bedca_0658,"Guayaba, enlatada en almíbar",other,,fruit,True,80,"Guayaba enlatada, fruta procesada"
bedca_0665,Aceite de grano de uva,fat,,other_oils,True,98,"Aceite de uva, no es oliva"
bedca_0668,"Limón, zumo, fresco",other,,fruit,True,92,"Zumo de limón, derivado de fruta"
bedca_0672,"Pera, enlatada en almíbar",carbs,,fruit,True,85,"Pera enlatada, fruta procesada"
bedca_0673,"Maíz, en mazorca, crudo",carbs,,grains,True,90,"Maíz en mazorca, cereal"
bedca_0674,"Palomitas de maíz, sin aceite, sin sal",fat,,sweets_bakery,True,55,"Palomitas sin aceite, snack procesado"
bedca_0678,Sal de mar,other,,other,True,95,"Sal, no es alimento con macros"
bedca_0679,Aceite de hígado de bacalao,fat,,other_oils,True,92,"Aceite de bacalao, no es oliva"
bedca_0683,"Vaca/buey, parte s/e, asado",protein,,meat,True,98,"Vaca asada, carne obvia"
bedca_0684,"Conejo, entero, estofado",protein,,meat,True,98,"Conejo estofado, carne obvia"
bedca_0687,"Sémola de trigo, hervida",other,,other,True,55,"Sémola hervida, no encaja claro"
bedca_0689,Harina de soja,carbs,,legumes,True,98,"Harina de soja, derivado legumbre"
bedca_0702,"Soja, fresca",carbs,,legumes,True,98,"Soja fresca, legumbre verde"
bedca_0714,Pudin de pasas,carbs,,sweets_bakery,True,92,"Pudin, postre dulce típico"
bedca_0715,Crema inglesa,dairy,,sweets_bakery,True,85,"Postre lácteo azucarado, similar a flan"
bedca_0717,"Tortilla, a la francesa",protein,,eggs,True,95,Tortilla francesa es básicamente huevo
bedca_0719,Alioli,fat,,other_fat,True,80,"Salsa alta en grasa, no es aceite puro"
bedca_0732,"Pichón, sin piel, asado",protein,,meat,True,95,"Pichón es ave de caza, carne"
bedca_0735,"Bacón, ahumado, a la parrilla",protein,,processed_protein,True,90,Bacón ahumado es carne procesada
bedca_0742,"Batido lácteo, de fresa, bajo en calorías",carbs,,sweets_bakery,True,75,"Batido azucarado, tipo refresco lácteo"
bedca_0743,"Bacon, crudo, con grasa separable",dairy,,other_dairy,True,45,"Bacon no es lácteo, error de categoría"
bedca_0744,"Bonito, enlatado en aceite, escurrido",fat,,fish,True,92,Bonito es pescado azul enlatado
bedca_0746,"Perca, al horno",protein,,fish,True,98,Perca es pescado blanco
bedca_0747,"Lucio, al horno",protein,,fish,True,98,Lucio es pescado de río
bedca_0748,"Carpa, al horno",protein,,fish,True,98,Carpa es pescado de río
bedca_0749,"Platija, al vapor",protein,,fish,True,98,Platija es pescado blanco plano
bedca_0752,"Mújol, al horno",protein,,fish,True,98,Mújol es pescado azul
bedca_0758,"Sésamo, semilla",protein,,other_protein,True,82,"Semilla, no carne ni huevo"
bedca_0759,"Castaña, tostada",other,,other_carbs,True,75,Fruto seco rico en hidratos
bedca_0763,"Caballa, enlatada en aceite, escurrida",fat,,fish,True,92,Caballa es pescado azul enlatado
bedca_0766,"Oca, sin piel, asada",protein,,meat,True,90,"Oca es ave, clasificada como carne"
bedca_0768,"Anís, seco",other,,other,True,80,"Especia, no fruta ni verdura"
bedca_0774,"Néctar de albaricoque, envasado",other,,fruit,True,75,Néctar de fruta con azúcar
bedca_0775,"Néctar de pera, envasado",carbs,,fruit,True,75,"Néctar de pera, derivado fruta"
bedca_0776,"Néctar de naranja, envasado",carbs,,fruit,True,75,"Néctar de naranja, derivado fruta"
bedca_0785,"Bígaro, hervido",protein,,other_protein,True,72,"Marisco, no es carne ni pescado"
bedca_0786,Zumo de grosella negra,other,,fruit,True,78,Zumo de fruta natural
bedca_0787,"Galllina, entera, cruda",protein,,meat,True,95,"Gallina es ave, carne"
bedca_0800,Cereales desayuno base de trigo y miel,carbs,,sweets_bakery,True,72,"Cereales azucarados, ultraprocesados"
bedca_0801,Cereales desayuno base de trigo y frutas,carbs,,grains,True,82,"Base de trigo, cereal de desayuno"
bedca_0805,"Lija, cruda",protein,,fish,True,95,Lija es un pescado
bedca_0808,Cereales desayuno base de trigo integral,carbs,,grains,True,88,Cereal de trigo integral
bedca_0810,Cereales desayuno base de maíz y trigo,carbs,,grains,True,85,Cereales de maíz y trigo
bedca_0811,Cereales desayuno base de maíz y miel,carbs,,sweets_bakery,True,72,Alto azúcar por la miel añadida
bedca_0812,"Guisante, seco, crudo",carbs,,legumes,True,98,Guisante seco es legumbre
bedca_0814,Zumo de mango,other,,fruit,True,90,Zumo derivado de fruta
bedca_0822,"Haba, seca",carbs,,legumes,True,98,Haba seca es legumbre
bedca_0824,"Coco, fresco",fat,,nuts_seeds,True,80,Coco fresco como fruto seco graso
bedca_0825,"Coco, desecado",dairy,,other_dairy,True,55,"No es lácteo, error de categoría"
bedca_0831,Aceite de germen de trigo,fat,,other_oils,True,95,Aceite no oliva
bedca_0836,"Ciervo, parte s/e, crudo, con grasa separable",protein,,meat,True,95,Ciervo es carne de caza
bedca_0841,Aceite de algodón,fat,,other_oils,True,95,Aceite vegetal no oliva
bedca_0852,"Bacaladilla, cruda",protein,,fish,True,95,Bacaladilla es pescado blanco
bedca_0858,Anís,other,,other,True,60,"Especia, no encaja bien"
bedca_0859,"Angula, cruda",protein,,fish,True,95,Angula es alevín de pescado
bedca_0860,Almidón de trigo,carbs,,grains,True,75,Derivado del trigo
bedca_0861,Almidón de maíz,carbs,,grains,True,75,Derivado del maíz
bedca_0866,Néctar de piña,carbs,,fruit,True,85,Néctar de piña es fruta
bedca_0867,Néctar de pera,carbs,,fruit,True,85,Néctar de pera es fruta
bedca_0868,Néctar de naranja,carbs,,fruit,True,85,Néctar de naranja es fruta
bedca_0869,Néctar de melocotón,carbs,,fruit,True,85,Néctar de melocotón es fruta
bedca_0875,"Salchicha, tipo viena",dairy,,sweets_bakery,True,55,"Salchicha no es lácteo, error categoría"
bedca_0876,"Petit suisse, líquido, sabor fresa",carbs,,basic_dairy,True,78,Lácteo azucarado tipo petit suisse
bedca_0877,"Petit suisse, fresa",carbs,,basic_dairy,True,80,Lácteo azucarado tipo petit suisse
bedca_0880,"Trufa, cruda",other,,vegetables,True,75,"Hongo comestible, clasificado como verdura en España"
bedca_0881,"Agua, con gas, embotellada",other,,other,True,55,"Bebida sin calorías, no es alimento"
bedca_0883,"Tenca, cruda",protein,,fish,True,95,Pescado de agua dulce español
bedca_0884,"Salema, cruda",protein,,fish,True,95,Pescado azul común en España
bedca_0885,"Volador, crudo",protein,,fish,True,95,"Pescado, alto en proteína sin grasa"
